,PM2.5,PM10
2026-03-19 11:00:00,33.64,54.24
2026-03-19 12:00:00,27.96,56.85
2026-03-19 13:00:00,29.31,61.09
2026-03-19 14:00:00,35.26,129.1
2026-03-19 15:00:00,45.52,132.06
2026-03-19 16:00:00,60.46,121.32
2026-03-19 17:00:00,55.31,118.58
2026-03-19 18:00:00,56.29,123.37
2026-03-19 19:00:00,65.95,114.08
2026-03-19 20:00:00,54.33,116.77
2026-03-19 21:00:00,56.62,123.76
2026-03-19 22:00:00,56.58,125.91
2026-03-19 23:00:00,60.38,147.51
2026-03-20 00:00:00,58.72,136.69
2026-03-20 01:00:00,52.61,135.05
2026-03-20 02:00:00,62.46,123.91
2026-03-20 03:00:00,91.45,110.41
2026-03-20 04:00:00,92.63,194.29
2026-03-20 05:00:00,79.28,104.17
2026-03-20 06:00:00,55.31,147.01
2026-03-20 07:00:00,41.23,103.45
2026-03-20 08:00:00,42.27,99.58
2026-03-20 09:00:00,44.53,99.72
2026-03-20 10:00:00,45.78,56.56
2026-03-20 11:00:00,43.71,118.22
2026-03-20 12:00:00,48.66,145.93
2026-03-20 13:00:00,42.26,151.18
2026-03-20 14:00:00,45.27,108.29
2026-03-20 15:00:00,41.62,48.17
2026-03-20 16:00:00,26.42,41.49
2026-03-20 17:00:00,16.34,51.47
2026-03-20 18:00:00,21.39,51.92
2026-03-20 19:00:00,20.7,51.45
2026-03-20 20:00:00,20.28,43.67
2026-03-20 21:00:00,24.5,37.76
2026-03-20 22:00:00,20.73,61.2
2026-03-20 23:00:00,27.38,53.74
2026-03-21 00:00:00,25.89,59.44
2026-03-21 01:00:00,29.97,29.97
2026-03-21 02:00:00,35.34,56.92
2026-03-21 03:00:00,38.68,38.68
2026-03-21 04:00:00,43.51,46.71
2026-03-21 05:00:00,39.53,49.12
2026-03-21 06:00:00,39.12,43.93
2026-03-21 07:00:00,39.39,45.98
2026-03-21 08:00:00,30.93,46.62
2026-03-21 09:00:00,43.78,46.66
2026-03-21 10:00:00,48.03,48.03
2026-03-21 11:00:00,43.66,43.66
2026-03-21 12:00:00,22.3,22.3
2026-03-21 13:00:00,21.55,21.55
2026-03-21 14:00:00,26.9,26.9
2026-03-21 15:00:00,38.43,38.43
2026-03-21 16:00:00,50.69,50.69
2026-03-21 17:00:00,47.74,47.74
2026-03-21 18:00:00,42.71,42.71
2026-03-21 19:00:00,47.1,47.1
2026-03-21 20:00:00,52.01,52.01
2026-03-21 21:00:00,38.11,52.91
2026-03-21 22:00:00,40.47,40.47
2026-03-21 23:00:00,37.07,40.43
2026-03-22 00:00:00,38.31,38.31
2026-03-22 01:00:00,44.28,44.28
2026-03-22 02:00:00,57.2,57.2
2026-03-22 03:00:00,49.28,49.28
2026-03-22 04:00:00,42.94,42.94
2026-03-22 05:00:00,43.22,43.22
2026-03-22 06:00:00,35.81,35.81
2026-03-22 07:00:00,29.72,31.02
2026-03-22 08:00:00,25.25,44.08
2026-03-22 09:00:00,24.99,42.02
2026-03-22 16:00:00,20.27,20.68
