,PM2.5,PM10
2026-03-19 11:00:00,23.12,53.93
2026-03-19 12:00:00,24.53,56.44
2026-03-19 13:00:00,24.52,61.4
2026-03-19 14:00:00,28.19,119.39
2026-03-19 15:00:00,45.25,123.76
2026-03-19 16:00:00,55.98,116.6
2026-03-19 17:00:00,53.07,116.71
2026-03-19 18:00:00,51.04,121.83
2026-03-19 19:00:00,68.31,111.92
2026-03-19 20:00:00,42.97,112.94
2026-03-19 21:00:00,52.64,118.6
2026-03-19 22:00:00,48.02,119.95
2026-03-19 23:00:00,52.69,136.0
2026-03-20 00:00:00,64.77,126.32
2026-03-20 01:00:00,52.45,127.28
2026-03-20 02:00:00,66.12,117.35
2026-03-20 03:00:00,70.81,103.46
2026-03-20 04:00:00,106.18,168.33
2026-03-20 05:00:00,57.17,95.51
2026-03-20 06:00:00,43.05,128.41
2026-03-20 07:00:00,36.64,94.5
2026-03-20 08:00:00,33.91,90.71
2026-03-20 09:00:00,31.53,84.82
2026-03-20 10:00:00,32.61,56.54
2026-03-20 11:00:00,32.15,102.21
2026-03-20 12:00:00,28.45,130.43
2026-03-20 13:00:00,34.53,137.43
2026-03-20 14:00:00,32.01,108.18
2026-03-20 15:00:00,31.51,56.35
2026-03-20 16:00:00,22.78,50.21
2026-03-20 17:00:00,20.09,58.41
2026-03-20 18:00:00,19.1,58.6
2026-03-20 19:00:00,18.75,56.38
2026-03-20 20:00:00,16.12,49.04
2026-03-20 21:00:00,20.06,43.22
2026-03-20 22:00:00,17.93,60.8
2026-03-20 23:00:00,15.74,52.46
2026-03-21 00:00:00,16.8,59.14
2026-03-21 01:00:00,26.51,26.51
2026-03-21 02:00:00,43.87,57.05
2026-03-21 03:00:00,36.95,36.95
2026-03-21 04:00:00,39.58,45.92
2026-03-21 05:00:00,28.88,46.36
2026-03-21 06:00:00,31.78,41.16
2026-03-21 07:00:00,31.51,42.67
2026-03-21 08:00:00,21.78,42.89
2026-03-21 09:00:00,25.61,42.9
2026-03-21 10:00:00,37.42,37.42
2026-03-21 11:00:00,40.09,40.09
2026-03-21 12:00:00,31.83,31.83
2026-03-21 13:00:00,23.42,23.42
2026-03-21 14:00:00,28.75,28.75
2026-03-21 15:00:00,35.89,35.89
2026-03-21 16:00:00,34.1,34.1
2026-03-21 17:00:00,30.14,37.32
2026-03-21 18:00:00,30.18,43.29
2026-03-21 19:00:00,31.34,36.53
2026-03-21 20:00:00,28.05,38.69
2026-03-21 21:00:00,30.67,49.38
2026-03-21 22:00:00,26.8,36.69
2026-03-21 23:00:00,27.16,36.85
2026-03-22 00:00:00,26.87,32.0
2026-03-22 01:00:00,29.59,35.2
2026-03-22 02:00:00,38.8,38.8
2026-03-22 03:00:00,44.63,44.63
2026-03-22 04:00:00,40.92,40.92
2026-03-22 05:00:00,26.48,26.48
2026-03-22 06:00:00,21.54,28.32
2026-03-22 07:00:00,20.82,27.4
2026-03-22 08:00:00,17.7,37.81
2026-03-22 09:00:00,14.48,37.41
2026-03-22 16:00:00,17.06,20.71
