,PM2.5,PM10
2026-03-19 11:00:00,32.65,54.28
2026-03-19 12:00:00,28.03,57.07
2026-03-19 13:00:00,29.49,61.24
2026-03-19 14:00:00,36.26,130.14
2026-03-19 15:00:00,47.76,132.64
2026-03-19 16:00:00,57.87,121.66
2026-03-19 17:00:00,53.77,118.19
2026-03-19 18:00:00,57.48,122.63
2026-03-19 19:00:00,68.57,113.65
2026-03-19 20:00:00,55.63,116.61
2026-03-19 21:00:00,59.1,123.3
2026-03-19 22:00:00,55.36,125.51
2026-03-19 23:00:00,55.18,147.32
2026-03-20 00:00:00,56.4,136.58
2026-03-20 01:00:00,52.67,135.35
2026-03-20 02:00:00,61.45,124.74
2026-03-20 03:00:00,86.53,110.9
2026-03-20 04:00:00,87.19,195.39
2026-03-20 05:00:00,80.54,104.68
2026-03-20 06:00:00,59.85,147.75
2026-03-20 07:00:00,42.43,103.84
2026-03-20 08:00:00,41.91,100.07
2026-03-20 09:00:00,45.18,99.81
2026-03-20 10:00:00,44.74,56.47
2026-03-20 11:00:00,46.16,118.56
2026-03-20 12:00:00,49.5,146.71
2026-03-20 13:00:00,44.79,152.22
2026-03-20 14:00:00,49.48,107.24
2026-03-20 15:00:00,49.37,49.37
2026-03-20 16:00:00,30.28,42.3
2026-03-20 17:00:00,20.52,52.04
2026-03-20 18:00:00,22.48,52.37
2026-03-20 19:00:00,21.54,52.25
2026-03-20 20:00:00,21.04,44.77
2026-03-20 21:00:00,25.21,38.69
2026-03-20 22:00:00,21.91,62.4
2026-03-20 23:00:00,28.51,55.2
2026-03-21 00:00:00,26.47,60.69
2026-03-21 01:00:00,32.54,32.54
2026-03-21 02:00:00,36.9,57.73
2026-03-21 03:00:00,35.65,35.65
2026-03-21 04:00:00,43.09,47.28
2026-03-21 05:00:00,38.6,49.56
2026-03-21 06:00:00,39.82,44.45
2026-03-21 07:00:00,43.85,46.35
2026-03-21 08:00:00,32.19,46.96
2026-03-21 09:00:00,43.85,46.97
2026-03-21 10:00:00,45.39,45.39
2026-03-21 11:00:00,45.96,45.96
2026-03-21 12:00:00,26.5,26.5
2026-03-21 13:00:00,24.59,24.59
2026-03-21 14:00:00,30.3,30.3
2026-03-21 15:00:00,38.06,38.06
2026-03-21 16:00:00,52.21,52.21
2026-03-21 17:00:00,49.82,49.82
2026-03-21 18:00:00,47.18,47.18
2026-03-21 19:00:00,49.21,49.21
2026-03-21 20:00:00,50.47,50.47
2026-03-21 21:00:00,39.36,53.11
2026-03-21 22:00:00,41.35,41.35
2026-03-21 23:00:00,41.27,41.27
2026-03-22 00:00:00,38.83,38.83
2026-03-22 01:00:00,44.69,44.69
2026-03-22 02:00:00,53.87,53.87
2026-03-22 03:00:00,50.21,50.21
2026-03-22 04:00:00,45.11,45.11
2026-03-22 05:00:00,45.09,45.09
2026-03-22 06:00:00,36.88,36.88
2026-03-22 07:00:00,34.91,34.91
2026-03-22 08:00:00,30.6,44.67
2026-03-22 09:00:00,28.02,42.34
2026-03-22 16:00:00,19.24,20.97
