,PM2.5,PM10
2026-03-19 11:00:00,29.41,53.8
2026-03-19 12:00:00,28.14,56.69
2026-03-19 13:00:00,30.07,60.99
2026-03-19 14:00:00,35.57,129.51
2026-03-19 15:00:00,48.52,132.19
2026-03-19 16:00:00,57.18,120.91
2026-03-19 17:00:00,53.34,116.85
2026-03-19 18:00:00,55.73,121.49
2026-03-19 19:00:00,69.39,112.32
2026-03-19 20:00:00,59.31,115.25
2026-03-19 21:00:00,60.01,123.73
2026-03-19 22:00:00,55.95,125.16
2026-03-19 23:00:00,54.14,146.57
2026-03-20 00:00:00,56.07,136.76
2026-03-20 01:00:00,52.72,136.0
2026-03-20 02:00:00,58.71,125.09
2026-03-20 03:00:00,74.73,116.69
2026-03-20 04:00:00,80.27,198.93
2026-03-20 05:00:00,79.56,106.73
2026-03-20 06:00:00,70.36,146.99
2026-03-20 07:00:00,50.08,105.42
2026-03-20 08:00:00,41.77,102.61
2026-03-20 09:00:00,46.98,100.39
2026-03-20 10:00:00,44.31,55.66
2026-03-20 11:00:00,47.06,116.46
2026-03-20 12:00:00,48.27,146.62
2026-03-20 13:00:00,47.39,151.83
2026-03-20 14:00:00,49.63,106.95
2026-03-20 15:00:00,51.73,51.73
2026-03-20 16:00:00,33.95,44.01
2026-03-20 17:00:00,24.23,53.6
2026-03-20 18:00:00,23.0,53.57
2026-03-20 19:00:00,22.66,53.29
2026-03-20 20:00:00,22.72,46.83
2026-03-20 21:00:00,26.39,40.38
2026-03-20 22:00:00,23.34,63.93
2026-03-20 23:00:00,27.97,56.59
2026-03-21 00:00:00,25.23,61.28
2026-03-21 01:00:00,32.39,32.39
2026-03-21 02:00:00,34.72,58.26
2026-03-21 03:00:00,35.48,35.48
2026-03-21 04:00:00,39.37,47.41
2026-03-21 05:00:00,38.66,49.54
2026-03-21 06:00:00,39.62,44.48
2026-03-21 07:00:00,43.11,46.18
2026-03-21 08:00:00,31.54,47.12
2026-03-21 09:00:00,40.96,47.27
2026-03-21 10:00:00,39.67,39.67
2026-03-21 11:00:00,41.48,41.48
2026-03-21 12:00:00,28.64,28.64
2026-03-21 13:00:00,26.03,26.03
2026-03-21 14:00:00,28.66,28.66
2026-03-21 15:00:00,36.45,36.45
2026-03-21 16:00:00,51.88,51.88
2026-03-21 17:00:00,49.35,49.35
2026-03-21 18:00:00,47.53,47.53
2026-03-21 19:00:00,47.26,47.26
2026-03-21 20:00:00,47.6,47.6
2026-03-21 21:00:00,37.78,52.95
2026-03-21 22:00:00,39.7,39.7
2026-03-21 23:00:00,43.43,43.43
2026-03-22 00:00:00,39.29,39.29
2026-03-22 01:00:00,44.74,44.74
2026-03-22 02:00:00,50.35,50.35
2026-03-22 03:00:00,50.79,50.79
2026-03-22 04:00:00,48.95,48.95
2026-03-22 05:00:00,45.19,45.19
2026-03-22 06:00:00,34.71,34.71
2026-03-22 07:00:00,34.5,34.5
2026-03-22 08:00:00,30.27,44.4
2026-03-22 09:00:00,26.68,42.28
2026-03-22 16:00:00,20.97,20.97
